Orthogroup	Ofaveolata_out_PRO	Mcavernosa2015_out_PRO
OG0000000	Ofaveolata251968	Mcavernosa84045
OG0000000	Ofaveolata19974	Mcavernosa41883
OG0000000	Ofaveolata95628	Mcavernosa34616, Mcavernosa191433, Mcavernosa269585, Mcavernosa143062, Mcavernosa75061, Mcavernosa37549, Mcavernosa67349, Mcavernosa22664, Mcavernosa170879, Mcavernosa276991, Mcavernosa102167
OG0000000	Ofaveolata244701	Mcavernosa235964, Mcavernosa334904, Mcavernosa175593, Mcavernosa202479, Mcavernosa161179, Mcavernosa272336, Mcavernosa184912, Mcavernosa98313, Mcavernosa178251, Mcavernosa20715, Mcavernosa53887, Mcavernosa147986, Mcavernosa182646, Mcavernosa140242, Mcavernosa506065, Mcavernosa115573, Mcavernosa214128, Mcavernosa111523, Mcavernosa93239, Mcavernosa321076, Mcavernosa13593, Mcavernosa114616, Mcavernosa171870, Mcavernosa86793, Mcavernosa253521, Mcavernosa53480, Mcavernosa84019, Mcavernosa131581, Mcavernosa131982, Mcavernosa77337
OG0000000	Ofaveolata2198168	Mcavernosa168865, Mcavernosa157609, Mcavernosa233901
OG0000000	Ofaveolata244539	Mcavernosa24346, Mcavernosa125061, Mcavernosa103750, Mcavernosa197053, Mcavernosa45193, Mcavernosa90841, Mcavernosa169349, Mcavernosa332232, Mcavernosa104080, Mcavernosa199120, Mcavernosa337607
OG0000000	Ofaveolata242791	Mcavernosa140819, Mcavernosa13185, Mcavernosa6116, Mcavernosa78562
OG0000000	Ofaveolata602	Mcavernosa22947, Mcavernosa49895
OG0000001	Ofaveolata1686920	Mcavernosa624810
OG0000001	Ofaveolata219390	Mcavernosa152559
OG0000001	Ofaveolata221185	Mcavernosa187986
OG0000001	Ofaveolata42149	Mcavernosa192709, Mcavernosa467567, Mcavernosa117977, Mcavernosa593606, Mcavernosa445186, Mcavernosa226361, Mcavernosa241967, Mcavernosa385803, Mcavernosa224060, Mcavernosa351980, Mcavernosa47727, Mcavernosa75638, Mcavernosa148261
OG0000002	Ofaveolata155881	Mcavernosa413512
OG0000002	Ofaveolata233602	Mcavernosa363608
OG0000002	Ofaveolata198949	Mcavernosa81495, Mcavernosa314400, Mcavernosa115269
OG0000002	Ofaveolata267377	Mcavernosa145723, Mcavernosa254251, Mcavernosa147065, Mcavernosa290782, Mcavernosa294196
OG0000002	Ofaveolata455627	Mcavernosa15223
OG0000002	Ofaveolata3369	Mcavernosa29800
OG0000003	Ofaveolata269267	Mcavernosa91786
OG0000003	Ofaveolata269856	Mcavernosa269090
OG0000003	Ofaveolata265130, Ofaveolata269818, Ofaveolata265949, Ofaveolata269767, Ofaveolata239551, Ofaveolata268133, Ofaveolata267811, Ofaveolata268672, Ofaveolata262940, Ofaveolata269574, Ofaveolata226584, Ofaveolata257953, Ofaveolata269502, Ofaveolata269498, Ofaveolata269827, Ofaveolata269155, Ofaveolata266945, Ofaveolata267835, Ofaveolata242243, Ofaveolata268533, Ofaveolata20283, Ofaveolata245227, Ofaveolata243256, Ofaveolata253924, Ofaveolata257144, Ofaveolata268971, Ofaveolata269501, Ofaveolata268358, Ofaveolata269601, Ofaveolata251648, Ofaveolata173491, Ofaveolata185402, Ofaveolata259383, Ofaveolata269675, Ofaveolata269779, Ofaveolata216989, Ofaveolata269253, Ofaveolata269314, Ofaveolata257239, Ofaveolata37031, Ofaveolata253919, Ofaveolata265835, Ofaveolata258069, Ofaveolata266807, Ofaveolata232153, Ofaveolata157553, Ofaveolata269042, Ofaveolata266348, Ofaveolata257031, Ofaveolata253926, Ofaveolata269389, Ofaveolata268863, Ofaveolata263860, Ofaveolata268799, Ofaveolata269291, Ofaveolata269843, Ofaveolata265090, Ofaveolata267640, Ofaveolata264052, Ofaveolata269140, Ofaveolata269750, Ofaveolata256872, Ofaveolata268227, Ofaveolata266795	Mcavernosa105826
OG0000004	Ofaveolata236923	Mcavernosa127024
OG0000004	Ofaveolata260508	Mcavernosa524057
OG0000004	Ofaveolata257553, Ofaveolata112003	Mcavernosa94070
OG0000004	Ofaveolata252581	Mcavernosa54832
OG0000004	Ofaveolata249045	Mcavernosa88060
OG0000004	Ofaveolata262314	Mcavernosa18716
OG0000004	Ofaveolata256945	Mcavernosa296845
OG0000004	Ofaveolata254549, Ofaveolata100230, Ofaveolata114630	Mcavernosa162010
OG0000004	Ofaveolata254544	Mcavernosa224094
OG0000004	Ofaveolata1651271	Mcavernosa222978
OG0000004	Ofaveolata255971	Mcavernosa202288
OG0000004	Ofaveolata251440	Mcavernosa152266, Mcavernosa552124, Mcavernosa172310
OG0000004	Ofaveolata265278, Ofaveolata259376	Mcavernosa258165
OG0000004	Ofaveolata242013, Ofaveolata216245, Ofaveolata52850, Ofaveolata1575942, Ofaveolata260865, Ofaveolata258336, Ofaveolata265057	Mcavernosa118790, Mcavernosa250128
OG0000004	Ofaveolata256374	Mcavernosa126784, Mcavernosa305749
OG0000004	Ofaveolata256405, Ofaveolata264329, Ofaveolata234410, Ofaveolata255844, Ofaveolata265297	Mcavernosa226285
OG0000004	Ofaveolata258185	Mcavernosa466353
OG0000004	Ofaveolata263545	Mcavernosa169971
OG0000004	Ofaveolata252990, Ofaveolata162683	Mcavernosa496789
OG0000005	Ofaveolata211103, Ofaveolata78105, Ofaveolata246602, Ofaveolata217941, Ofaveolata186352, Ofaveolata236702, Ofaveolata179027	Mcavernosa226614
OG0000005	Ofaveolata225365	Mcavernosa187058
OG0000005	Ofaveolata267219, Ofaveolata197287, Ofaveolata263459, Ofaveolata264815	Mcavernosa86862
OG0000005	Ofaveolata262085	Mcavernosa100928
OG0000005	Ofaveolata266098, Ofaveolata260921, Ofaveolata264121	Mcavernosa150342
OG0000005	Ofaveolata250533, Ofaveolata259893, Ofaveolata23741, Ofaveolata244128, Ofaveolata258655, Ofaveolata229391, Ofaveolata238977, Ofaveolata246613	Mcavernosa66973
OG0000006	Ofaveolata236953	Mcavernosa430231
OG0000006	Ofaveolata230803, Ofaveolata74883, Ofaveolata246248, Ofaveolata247811, Ofaveolata264414, Ofaveolata260996, Ofaveolata254472, Ofaveolata266805, Ofaveolata251836, Ofaveolata247198, Ofaveolata232480, Ofaveolata207998, Ofaveolata234826, Ofaveolata207307, Ofaveolata254320	Mcavernosa385893
OG0000006	Ofaveolata1164644, Ofaveolata244588, Ofaveolata252518, Ofaveolata256912, Ofaveolata259119, Ofaveolata966640, Ofaveolata126408, Ofaveolata240278, Ofaveolata228528, Ofaveolata251472, Ofaveolata261738, Ofaveolata264675, Ofaveolata253728, Ofaveolata256401	Mcavernosa184720
OG0000006	Ofaveolata259691	Mcavernosa208874
OG0000006	Ofaveolata249878	Mcavernosa178012
OG0000006	Ofaveolata168401, Ofaveolata265127, Ofaveolata255817, Ofaveolata247027, Ofaveolata253206, Ofaveolata253827, Ofaveolata241725	Mcavernosa132992
OG0000006	Ofaveolata261994, Ofaveolata260715, Ofaveolata241241, Ofaveolata263080, Ofaveolata261507	Mcavernosa385148
OG0000006	Ofaveolata265247, Ofaveolata28008, Ofaveolata261465	Mcavernosa288436
OG0000007	Ofaveolata267367	Mcavernosa76660, Mcavernosa460106
OG0000007	Ofaveolata253878	Mcavernosa215611, Mcavernosa64381, Mcavernosa71936
